"","2.5 percentile","50 percentile","97.5 percentile","Rhat (descending)","Percentile.Rhat (100%)"
"logP.ct[200,202]",-0.00717694852194868,-4.10723243555333e-05,0.0068480698762715,1.13488305055213,0.418155553866038
"logP.ct[200,248]",-0.0105036502355769,-0.00337733451348547,0.0034728295248625,1.13486463975955,0.425758382118148
"logP.ct[200,254]",-0.00912451745722935,-0.00199203457393423,0.00469170358852883,1.13481816487449,0.433361210370258
"logP.ct[200,212]",-0.0106766373180032,-0.00355473256370957,0.0032533404638079,1.13470741871596,0.440964038622367
"logP.ct[200,247]",-0.00988615156805911,-0.00268154759231625,0.00412076887828665,1.13462511393487,0.448566866874477
"logP.ct[200,227]",-0.00674098200936236,0.000404355600637706,0.00730622885620339,1.1346085144873,0.456169695126587
"logP.ct[200,213]",-0.00775296828976974,-0.000629981336774855,0.00614229372709574,1.13460584505811,0.463772523378697
"logP.ct[200,232]",-0.00810891487344266,-0.000945163064920556,0.00587611875241427,1.13448957024645,0.471375351630807
"logP.ct[200,228]",-0.00599893569822573,0.00119471745127128,0.00805017769100703,1.1344326258525,0.478978179882916
"logP.ct[200,217]",-0.00557219598182234,0.00158875837936742,0.00831398518463513,1.13441081258949,0.486581008135026
"logP.ct[200,194]",-0.000836183506819117,0.00627357273377162,0.0130793094940435,1.13427626161419,0.494183836387136
"logP.ct[200,221]",-0.00653136696024826,0.000750445851566166,0.0075882567384792,1.13392662582407,0.501786664639246
"logP.ct[200,195]",-0.00334471510819423,0.00386825192636558,0.0107113496266767,1.13375251263827,0.509389492891356
"logP.ct[200,223]",-0.00509335424259475,0.00202983664642097,0.00898095057389215,1.13375200276678,0.516992321143465
"logP.ct[200,241]",-0.00872779404895471,-0.00152439772274718,0.00535175285723788,1.1336941310993,0.524595149395575
"logP.ct[200,215]",-0.00835111526885649,-0.00126551840907007,0.00559909363111968,1.13288524370246,0.532197977647685
"logP.ct[200,191]",-0.00355637323306403,0.00357839935506579,0.010499784104506,1.13284462386339,0.539800805899795
"logP.ct[200,189]",-0.00453768095187682,0.0026836353459896,0.00961546870730625,1.13274139123328,0.547403634151905
"logP.ct[200,222]",-0.0043028723468961,0.00287676082094294,0.00980190699909071,1.1326793270346,0.555006462404014
"logP.ct[200,193]",-0.00402082360464588,0.00335588105960861,0.0102519599340273,1.13240172128403,0.562609290656124
"logP.ct[200,234]",-0.00768979412391043,-0.000527702292995351,0.00634497361563298,1.13218964901445,0.570212118908234
"logP.ct[200,186]",-0.00668010797308552,0.000539920275690948,0.00755595521769512,1.13216220426582,0.577814947160344
"logP.ct[200,192]",-0.003648507568517,0.00353761020964766,0.010414665988289,1.1319313712875,0.585417775412453
"logP.ct[200,188]",-0.0049715558959027,0.00220108160114032,0.00908247486356997,1.13178671715283,0.593020603664563
"logP.ct[200,185]",-0.00556156619317206,0.00172470086512639,0.00875442109968639,1.13009100238951,0.600623431916673
"logP.ct[200,224]",-0.00602149553446601,0.00113500280608441,0.00797546694663308,1.12978846037091,0.608226260168783
"logP.ct[200,182]",-0.00427548800014361,0.00303965587736116,0.00994143228289377,1.12935660864997,0.615829088420893
"logP.ct[200,181]",-0.00327010271460367,0.00399189297621011,0.0109989998166844,1.12919774710688,0.623431916673002
"logP.ct[200,187]",-0.0056013182356555,0.0017096016497756,0.00873786228641036,1.12917919141128,0.631034744925112
"logP.ct[200,184]",-0.00707905975938958,0.000267948177657142,0.00726698345728612,1.12820107193418,0.638637573177222
"logP.ct[200,183]",-0.00605488037998501,0.00124017274601462,0.00828999205430999,1.12741012738726,0.646240401429332
"a.c[95]",1.04445855634875,1.0504015685253,1.05637495138413,1.08188824152433,0.653843229681441
"logP.ct[95,171]",-0.0157358051380352,-0.00946683309851936,-0.00336127711508188,1.07206708245022,0.661446057933551
"logP.ct[95,181]",-0.00778288866576323,-0.00155761146648569,0.004559895002211,1.07201474904038,0.669048886185661
"logP.ct[95,180]",-0.00935722854377051,-0.00319096231601997,0.00291474973807505,1.071908635091,0.676651714437771
"logP.ct[95,197]",-0.00683601917711594,-0.000730473043257436,0.0052986176142376,1.07126448450986,0.684254542689881
"logP.ct[95,198]",0.00139550932320685,0.00765298140409181,0.0138107248981808,1.07119936510261,0.69185737094199
"logP.ct[95,220]",0.00741923536613534,0.0137610131585903,0.0199365694918946,1.07108220671862,0.6994601991941
"logP.ct[95,178]",-0.00753985487115609,-0.00137252193421179,0.004770388211938,1.07108145545362,0.70706302744621
"logP.ct[95,176]",-0.0158517164342422,-0.0096319706320116,-0.00359129083884482,1.07070008508519,0.71466585569832
